bias	electoral_district	election_night_leader	final_winner	prob_winner	prob_lib	prob_ndp	prob_grn	prob_lbn	prob_other
-0.1	Abbotsford-Mission	LIB	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Abbotsford South	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Abbotsford West	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Boundary-Similkameen	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Burnaby-Deer Lake	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Burnaby-Edmonds	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Burnaby-Lougheed	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Burnaby North	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Cariboo-Chilcotin	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Cariboo North	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Chilliwack	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Chilliwack-Kent	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Columbia River-Revelstoke	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Coquitlam-Burke Mountain	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Coquitlam-Maillardville	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Courtenay-Comox	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Cowichan Valley	GP	GP	1.0	0.0	0.0	1.0	0.0	0.0
-0.1	Delta North	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Delta South	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Esquimalt-Metchosin	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Fraser-Nicola	LIB	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Kamloops-North Thompson	LIB	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Kamloops-South Thompson	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Kelowna-Lake Country	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Kelowna-Mission	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Kelowna West	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Kootenay East	LIB	LIB	1.0	1.0	0.0	0.0	0.0	0.0
-0.1	Kootenay West	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Langford-Juan de Fuca	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Langley	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Langley East	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Maple Ridge-Mission	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Maple Ridge-Pitt Meadows	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Mid Island-Pacific Rim	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Nanaimo	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
-0.1	Nanaimo-North Cowichan	NDP	NDP	1.0	0.0	1.0	0.0	0.0	0.0
